"","AGBN","seed","seedrich","type","time"
"1",88.3760097444117,0,0,"MF","first"
"2",131.161409575512,6853.36792,1,"MF","first"
"3",97.9571823037944,5927.23712,1,"MF","first"
"4",249.552791716615,926.1308,2,"MF","first"
"5",52.5640535206043,0,0,"MF","first"
"6",29.6542530096934,8149.95104,3,"MF","first"
"7",64.5456163129468,0,0,"MF","first"
"8",204.504262224423,185.22616,1,"MF","first"
"9",213.118285281968,0,0,"MF","first"
"10",84.7816220088885,0,0,"MF","first"
"11",355.061276166234,3519.29704,1,"MF","first"
"12",121.631100021495,0,0,"MF","first"
"13",46.7720188883547,1481.80928,2,"MF","first"
"14",44.4293193193059,0,0,"MF","first"
"15",404.473372646355,185.22616,1,"MF","first"
"16",107.112620995931,2963.61856,3,"MF","first"
"17",96.61140047729,0,0,"MF","first"
"18",50.337471686033,1481.80928,3,"MF","first"
"19",204.618333085349,0,0,"MF","first"
"20",51.5873091614578,1296.58312,1,"MF","first"
"21",99.9940300180886,0,0,"MF","first"
"22",460.647242059489,185.22616,1,"MF","first"
"23",89.0810935301778,0,0,"MF","first"
"24",40.3597859617666,0,0,"MF","first"
"25",74.6118758818066,3519.29704,2,"MF","first"
"26",152.369941257459,2407.94008,1,"MF","first"
"27",59.495431692438,370.45232,2,"MF","first"
"28",98.677935369822,8520.40336,3,"MF","first"
"29",216.860734891582,2222.71392,3,"MF","first"
"30",148.241528511439,9261.308,3,"MF","first"
"31",177.221023430089,0,0,"MF","first"
"32",199.193875910566,1667.03544,1,"MF","first"
"33",292.675095339683,5001.10632,2,"MF","first"
"34",178.7732223917,2778.3924,1,"MF","first"
"35",82.0018507131759,0,0,"MF","first"
"36",125.653101278973,0,0,"MF","first"
"37",148.568467433222,2037.48776,3,"MF","first"
"38",160.350072897005,1111.35696,1,"MF","first"
"39",217.81739838585,0,0,"MF","first"
"40",63.3105499503546,19819.19912,2,"MF","first"
"41",62.08238684555,0,0,"MF","first"
"42",211.761868769068,2963.61856,4,"MF","first"
"43",113.110566902803,0,0,"MF","first"
"44",62.4683329614666,9076.08184,3,"MF","first"
"45",57.2198476048211,0,0,"MF","first"
"46",27.066669087643,0,0,"MF","first"
"47",111.416722204157,4445.42784,4,"MF","first"
"48",131.557959659032,0,0,"MF","first"
"49",91.0734534311128,0,0,"MF","first"
"50",50.9653337034291,1111.35696,2,"MF","first"
"51",17.4760629020137,4074.97552,2,"MF","first"
