"","NUNID.2","NUNID.1","NUNIDS.2","AGB.2","AGB.1","BALIVE.2","BALIVE.1","CUT","FIRE_ALL","INSDIS","G_FIRE","C_FIRE","LAT.2","LON.2","REMPER.2","MEASYEAR.2","MEASYEAR.1","STDAGE.2","STDAGE.1","STDORGCD.1","STDORGCD.2","FORTYPCD.1","FORTYPCD.2","ECOSUBCD.1","DISTURB","rep_std","since_fire","severity","sev_mean","fire_id_mtbs","id_1","fire_yr","fire_mn","fire_day","INVYR.x","STATECD.x","UNITCD.x","COUNTYCD.x","PLOT.x","MEASMON","MEASDAY","pplotid.x","INVYR.y","STATECD.y","UNITCD.y","COUNTYCD.y","PLOT.y","FLDSZCD.x","CONDPROP_UNADJ.x","STDAGE.x","FLDAGE.x","pplotid.y","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","FLDSZCD.y","CONDPROP_UNADJ.y","STDAGE.y","FLDAGE.y","pplotid","date","date_ym","diff_yr","diff_mn","diff_dy","diff_days","diff_months","diff_years","seed_count.1","sd_spp_rich.1","seed_count_con.1","sd_spp_rich_con.1","seed_count.2","sd_spp_rich.2","seed_count_con.2","sd_spp_rich_con.2","seed_ct_ch","sdsp_rh_ch","seed_ct_ch_con","sdsp_rh_ch_con"
"1","1-5-29-60-2018","1-5-29-60-2011","1-5-29-60",67494.4751615067,60338.4864489386,68.2583,69.2652,0,1,0,1,0,33.718518,-85.53249,6.8,2017,2011,52,45,0,0,161,161," 231Dd",1,0,4,0,2,"AL3375708552920130127","AL33757085529","2013","01","27",2011,1,5,29,60,2,1,"1-5-29-60",2011,1,5,29,60,3,1,45,45,"1-5-29-60",2018,1,5,29,60,3,1,52,52,"1-5-29-60","2017-2-1","2017-2",4,1,-26,1464,48.14,4.01,3148.84472,7,0,0,3519.29704,10,0,0,370.452319999999,3,0,0
"2","1-5-29-62-2016","1-5-29-62-2009","1-5-29-62",163222.365874613,127906.46620075,156.0817,122.9465,0,1,0,1,0,33.692294,-85.579999,6.2,2015,2009,60,53,0,0,406,406," 231Dd",1,0,1,0,2,"AL3369508557420140302","AL33695085574","2014","03","02",2009,1,5,29,62,8,25,"1-5-29-62",2009,1,5,29,62,2,1,53,53,"1-5-29-62",2016,1,5,29,62,2,1,60,60,"1-5-29-62","2015-8-25","2015-8",1,5,23,540,17.76,1.48,555.67848,3,185.22616,1,370.45232,1,0,0,-185.22616,-2,-185.22616,-1
"3","1-5-37-50-2012","1-5-37-50-2001","1-5-37-50",94118.0963884479,63640.9033887257,68.2192,49.5593,0,1,0,1,0,33.066768,-86.317891,10.8,2012,2001,75,75,0,0,161,161," 231Ac",1,0,6,0,2,"AL3308108630420060323","AL33081086304","2006","03","23",2001,1,5,37,50,7,25,"1-5-37-50",2001,1,5,37,50,3,1,75,75,"1-5-37-50",2012,1,5,37,50,3,1,75,75,"1-5-37-50","2012-7-25","2012-7",6,4,2,2314,76.09,6.34,9076.08184,7,0,0,12039.7004,10,0,0,2963.61856,3,0,0
"4","12-1-107-197-2016","12-1-107-197-2011","12-1-107-197",99137.3001761781,87364.363290961,106.0824,98.5313,0,1,0,1,0,29.409042,-81.685506,6.2,2017,2010,26,33,0,0,166,166," 232Kb",1,0,4,0,2,"FL2942908168920110228","FL29429081689","2011","02","28",2011,12,1,107,197,11,30,"12-1-107-197",2011,12,1,107,197,3,1,33,33,"12-1-107-197",2016,12,1,107,197,2,1,26,26,"12-1-107-197","2017-11-30","2017-11",6,9,2,2466,81.09,6.76,370.45232,1,0,0,1296.58312,2,0,0,926.1308,1,0,0
"5","12-1-107-38-2016","12-1-107-38-2011","12-1-107-38",48139.6907084503,46968.4621575299,48.9343,49.6219,0,1,0,1,0,29.508193,-81.75868,5.8,2016,2011,54,49,1,1,142,142," 232Ga",1,0,2,0,2,"FL2948008177020140123","FL29480081770","2014","01","23",2011,12,1,107,38,2,8,"12-1-107-38",2011,12,1,107,38,3,1,49,49,"12-1-107-38",2016,12,1,107,38,3,1,54,54,"12-1-107-38","2016-2-8","2016-2",2,1,-15,745,24.5,2.04,185.22616,1,185.22616,1,555.67848,1,555.67848,1,370.45232,0,370.45232,0
"6","12-1-127-164-2010","12-1-127-164-2003","12-1-127-164",5816.91995383746,2015.53617758712,61.8671,9.177,0,0,0,0,0,29.219774,-81.159859,6.2,2010,2004,11,5,1,1,142,142," 232Ga",0,0,4,0,2,"FL2921508115120060603","FL29215081151","2006","06","03",2003,12,1,127,164,1,14,"12-1-127-164",2003,12,1,127,164,1,0.3266,0,5,"12-1-127-164",2010,12,1,127,164,1,0.3266,0,11,"12-1-127-164","2010-1-14","2010-1",4,-5,11,1319,43.37,3.61,185.22616,1,0,0,0,0,0,0,-185.22616,-1,0,0
"7","12-1-19-56-2013","12-1-19-56-2007","12-1-19-56",52797.8141860315,67559.0762798565,51.0313,76.9283,0,0,0,0,0,29.9369,-81.931907,5.8,2014,2008,33,27,0,0,142,142," 232Ca",0,0,4,0,2,"FL2994708193520100520","FL29947081935","2010","05","20",2007,12,1,19,56,4,23,"12-1-19-56",2007,12,1,19,56,3,1,27,27,"12-1-19-56",2013,12,1,19,56,3,1,33,33,"12-1-19-56","2014-4-23","2014-4",4,-1,3,1433,47.12,3.93,2407.94008,2,0,0,3889.74936,2,0,0,1481.80928,0,0,0
"8","12-1-19-62-2013","12-1-19-62-2007","12-1-19-62",88590.7441421604,92220.3352573327,57.5154,58.8686,0,0,0,0,0,29.938696,-81.625126,5.8,2014,2008,66,60,0,0,141,142," 232Ga",0,0,4,0,2,"FL2995708163620100224","FL29957081636","2010","02","24",2007,12,1,19,62,4,29,"12-1-19-62",2007,12,1,19,62,3,1,60,60,"12-1-19-62",2013,12,1,19,62,3,1,66,66,"12-1-19-62","2014-4-29","2014-4",4,2,5,1526,50.18,4.18,5186.33248,3,0,0,2407.94008,2,0,0,-2778.3924,-1,0,0
"9","12-1-23-192-2016","12-1-23-192-2011","12-1-23-192",50891.819323317,34203.1443793449,24.8955,26.3421,0,1,0,1,0,30.353295,-82.477688,5.8,2016,2011,25,20,0,0,608,142," 232Cd",1,0,4,0,2,"FL3034608249920120125","FL30346082499","2012","01","25",2011,12,1,23,192,3,1,"12-1-23-192",2011,12,1,23,192,2,0.4105,55,55,"12-1-23-192",2016,12,1,23,192,2,0.425885,60,60,"12-1-23-192","2016-3-1","2016-3",4,2,-24,1497,49.23,4.1,1111.35696,2,0,0,1481.80928,4,0,0,370.45232,2,0,0
"10","12-1-23-194-2017","12-1-23-194-2012","12-1-23-194",77165.2468144909,72664.9547839921,56.7879,48.2043,0,1,0,1,0,30.312173,-82.463631,6.7,2018,2012,55,60,0,0,141,141," 232Cd",1,0,2,0,2,"FL3030008246520160207","FL30300082465","2016","02","07",2012,12,1,23,194,4,9,"12-1-23-194",2012,12,1,23,194,3,1,60,60,"12-1-23-194",2017,12,1,23,194,3,1,55,55,"12-1-23-194","2018-4-9","2018-4",2,2,2,793,26.08,2.17,0,0,0,0,0,0,0,0,0,0,0,0
